,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,species
100,6.3,3.3,6.0,2.5,Iris_virginica
101,5.8,2.7,5.1,1.9,Iris_virginica
102,7.1,3.0,5.9,2.1,Iris_virginica
103,6.3,2.9,5.6,1.8,Iris_virginica
104,6.5,3.0,5.8,2.2,Iris_virginica
105,7.6,3.0,6.6,2.1,Iris_virginica
106,4.9,2.5,4.5,1.7,Iris_virginica
107,7.3,2.9,6.3,1.8,Iris_virginica
108,6.7,2.5,5.8,1.8,Iris_virginica
109,7.2,3.6,6.1,2.5,Iris_virginica
110,6.5,3.2,5.1,2.0,Iris_virginica
111,6.4,2.7,5.3,1.9,Iris_virginica
112,6.8,3.0,5.5,2.1,Iris_virginica
113,5.7,2.5,5.0,2.0,Iris_virginica
114,5.8,2.8,5.1,2.4,Iris_virginica
115,6.4,3.2,5.3,2.3,Iris_virginica
116,6.5,3.0,5.5,1.8,Iris_virginica
117,7.7,3.8,6.7,2.2,Iris_virginica
118,7.7,2.6,6.9,2.3,Iris_virginica
119,6.0,2.2,5.0,1.5,Iris_virginica
120,6.9,3.2,5.7,2.3,Iris_virginica
121,5.6,2.8,4.9,2.0,Iris_virginica
122,7.7,2.8,6.7,2.0,Iris_virginica
123,6.3,2.7,4.9,1.8,Iris_virginica
124,6.7,3.3,5.7,2.1,Iris_virginica
125,7.2,3.2,6.0,1.8,Iris_virginica
126,6.2,2.8,4.8,1.8,Iris_virginica
127,6.1,3.0,4.9,1.8,Iris_virginica
128,6.4,2.8,5.6,2.1,Iris_virginica
129,7.2,3.0,5.8,1.6,Iris_virginica
130,7.4,2.8,6.1,1.9,Iris_virginica
131,7.9,3.8,6.4,2.0,Iris_virginica
132,6.4,2.8,5.6,2.2,Iris_virginica
133,6.3,2.8,5.1,1.5,Iris_virginica
134,6.1,2.6,5.6,1.4,Iris_virginica
135,7.7,3.0,6.1,2.3,Iris_virginica
136,6.3,3.4,5.6,2.4,Iris_virginica
137,6.4,3.1,5.5,1.8,Iris_virginica
138,6.0,3.0,4.8,1.8,Iris_virginica
139,6.9,3.1,5.4,2.1,Iris_virginica
140,6.7,3.1,5.6,2.4,Iris_virginica
141,6.9,3.1,5.1,2.3,Iris_virginica
142,5.8,2.7,5.1,1.9,Iris_virginica
143,6.8,3.2,5.9,2.3,Iris_virginica
144,6.7,3.3,5.7,2.5,Iris_virginica
145,6.7,3.0,5.2,2.3,Iris_virginica
146,6.3,2.5,5.0,1.9,Iris_virginica
147,6.5,3.0,5.2,2.0,Iris_virginica
148,6.2,3.4,5.4,2.3,Iris_virginica
149,5.9,3.0,5.1,1.8,Iris_virginica
